Reading,Lux,Anomaly,Smoothed Lux
472,85.83,False,85.83
473,85.83,False,85.83
474,85.83,False,85.83
475,85.83,False,85.83
476,85.83,False,85.83
477,85.83,False,85.83
478,85.83,False,85.83
479,85.83,False,85.83
480,85.83,False,85.83
481,85.83,False,85.83
482,85.83,False,85.83
483,85.83,False,85.83
484,85.83,False,85.83
485,85.83,False,85.83
486,85.83,False,85.83
487,85.83,False,85.83
488,85.83,False,85.83
489,85.83,False,85.83
490,85.83,False,85.83
491,85.83,False,85.83
492,85.83,False,85.83
493,85.83,False,85.83
494,85.83,False,85.83
495,85.83,False,85.83
496,85.83,False,85.83
497,85.83,False,85.83
498,85.83,False,85.83
499,85.83,False,85.83
500,85.83,False,85.83
501,85.83,False,85.83
502,85.83,False,85.83
503,85.83,False,85.83
504,85.83,False,85.83
505,85.83,False,85.83
506,85.83,False,85.83
507,85.83,False,85.83
508,85.83,False,85.83
509,87.5,False,86.164
510,87.5,False,86.498
511,87.5,False,86.832
512,87.5,False,87.166
513,90.0,False,88.0
514,90.0,False,88.5
515,90.0,False,89.0
516,90.0,False,89.5
517,90.0,False,90.0
518,90.0,False,90.0
519,90.0,False,90.0
520,90.0,False,90.0
521,90.0,False,90.0
522,90.0,False,90.0
523,90.0,False,90.0
524,90.0,False,90.0
525,90.0,False,90.0
526,90.0,False,90.0
527,90.0,False,90.0
528,90.0,False,90.0
529,90.0,False,90.0
530,91.67,False,90.334
531,91.67,False,90.668
532,91.67,False,91.002
533,91.67,False,91.336
534,91.67,False,91.67
535,91.67,False,91.67
536,91.67,False,91.67
537,91.67,False,91.67
538,91.67,False,91.67
539,91.67,False,91.67
540,91.67,False,91.67
541,91.67,False,91.67
542,91.67,False,91.67
543,91.67,False,91.67
544,91.67,False,91.67
545,91.67,False,91.67
546,91.67,False,91.67
547,91.67,False,91.67
548,91.67,False,91.67
549,91.67,False,91.67
550,91.67,False,91.67
551,91.67,False,91.67
552,91.67,False,91.67
553,91.67,False,91.67
554,91.67,False,91.67
555,91.67,False,91.67
556,91.67,False,91.67
557,91.67,False,91.67
558,91.67,False,91.67
559,91.67,False,91.67
560,91.67,False,91.67
561,92.5,False,91.83600000000001
562,92.5,False,92.002
563,92.5,False,92.168
564,92.5,False,92.33399999999999
565,92.5,False,92.5
566,92.5,False,92.5
567,92.5,False,92.5
568,92.5,False,92.5
569,92.5,False,92.5
570,92.5,False,92.5
571,92.5,False,92.5
572,92.5,False,92.5
573,92.5,False,92.5
574,92.5,False,92.5
575,92.5,False,92.5
576,92.5,False,92.5
577,92.5,False,92.5
578,92.5,False,92.5
579,92.5,False,92.5
580,92.5,False,92.5
581,92.5,False,92.5
582,92.5,False,92.5
583,92.5,False,92.5
584,92.5,False,92.5
585,92.5,False,92.5
586,92.5,False,92.5
587,92.5,False,92.5
588,92.5,False,92.5
589,92.5,False,92.5
590,92.5,False,92.5
591,90.83,False,92.16600000000001
592,90.83,False,91.83200000000001
593,90.83,False,91.49799999999999
594,90.83,False,91.16400000000002
595,90.83,False,90.83
596,90.83,False,90.83
597,90.83,False,90.83
598,90.83,False,90.83
599,90.83,False,90.83
600,90.83,False,90.83
601,90.83,False,90.83
602,90.83,False,90.83
603,90.83,False,90.83
604,90.83,False,90.83
605,90.83,False,90.83
606,90.83,False,90.83
607,90.83,False,90.83
608,90.83,False,90.83
609,90.83,False,90.83
610,90.83,False,90.83
611,90.83,False,90.83
612,90.83,False,90.83
613,90.83,False,90.83
614,90.83,False,90.83
615,90.83,False,90.83
616,90.83,False,90.83
617,90.83,False,90.83
618,90.83,False,90.83
619,90.83,False,90.83
620,90.83,False,90.83
621,90.83,False,90.83
622,89.17,False,90.498
623,89.17,False,90.166
624,89.17,False,89.83399999999999
625,89.17,False,89.502
626,89.17,False,89.17
627,89.17,False,89.17
628,89.17,False,89.17
629,89.17,False,89.17
630,89.17,False,89.17
631,89.17,False,89.17
632,89.17,False,89.17
633,89.17,False,89.17
634,89.17,False,89.17
635,89.17,False,89.17
636,89.17,False,89.17
637,89.17,False,89.17
638,89.17,False,89.17
639,89.17,False,89.17
640,89.17,False,89.17
641,89.17,False,89.17
642,89.17,False,89.17
643,89.17,False,89.17
644,89.17,False,89.17
645,89.17,False,89.17
646,89.17,False,89.17
647,89.17,False,89.17
648,89.17,False,89.17
649,89.17,False,89.17
650,89.17,False,89.17
651,89.17,False,89.17
652,89.17,False,89.17
653,89.17,False,89.17
654,89.17,False,89.17
655,89.17,False,89.17
656,89.17,False,89.17
657,89.17,False,89.17
658,89.17,False,89.17
659,89.17,False,89.17
660,89.17,False,89.17
661,89.17,False,89.17
662,89.17,False,89.17
663,89.17,False,89.17
664,89.17,False,89.17
665,89.17,False,89.17
666,89.17,False,89.17
667,89.17,False,89.17
668,89.17,False,89.17
669,89.17,False,89.17
670,89.17,False,89.17
671,89.17,False,89.17
672,89.17,False,89.17
673,89.17,False,89.17
674,89.17,False,89.17
675,89.17,False,89.17
676,89.17,False,89.17
677,89.17,False,89.17
678,89.17,False,89.17
679,89.17,False,89.17
680,89.17,False,89.17
681,89.17,False,89.17
682,89.17,False,89.17
683,88.33,False,89.002
684,88.33,False,88.83399999999999
685,88.33,False,88.66600000000001
686,88.33,False,88.498
687,88.33,False,88.33
688,88.33,False,88.33
689,88.33,False,88.33
690,88.33,False,88.33
691,88.33,False,88.33
692,88.33,False,88.33
693,88.33,False,88.33
694,88.33,False,88.33
695,88.33,False,88.33
696,88.33,False,88.33
697,88.33,False,88.33
698,88.33,False,88.33
699,88.33,False,88.33
700,88.33,False,88.33
701,88.33,False,88.33
702,88.33,False,88.33
703,88.33,False,88.33
704,88.33,False,88.33
705,88.33,False,88.33
706,88.33,False,88.33
707,88.33,False,88.33
708,88.33,False,88.33
709,88.33,False,88.33
710,88.33,False,88.33
711,88.33,False,88.33
712,88.33,False,88.33
713,88.33,False,88.33
714,88.33,False,88.33
715,88.33,False,88.33
716,88.33,False,88.33
717,88.33,False,88.33
718,88.33,False,88.33
719,88.33,False,88.33
720,88.33,False,88.33
721,88.33,False,88.33
722,88.33,False,88.33
723,88.33,False,88.33
724,88.33,False,88.33
725,88.33,False,88.33
726,88.33,False,88.33
727,88.33,False,88.33
728,88.33,False,88.33
729,88.33,False,88.33
730,88.33,False,88.33
731,88.33,False,88.33
732,88.33,False,88.33
733,88.33,False,88.33
734,88.33,False,88.33
735,88.33,False,88.33
736,88.33,False,88.33
737,88.33,False,88.33
