Reading,Lux,Anomaly,Smoothed Lux
309,231.67,False,231.67
310,231.67,False,231.67
311,231.67,False,231.67
312,231.67,False,231.67
313,240.0,False,233.33599999999996
314,240.0,False,235.002
315,240.0,False,236.66799999999998
316,240.0,False,238.334
317,240.0,False,240.0
318,240.0,False,240.0
319,240.0,False,240.0
320,240.0,False,240.0
321,240.0,False,240.0
322,240.0,False,240.0
323,240.0,False,240.0
324,240.0,False,240.0
325,240.0,False,240.0
326,240.0,False,240.0
327,240.0,False,240.0
328,240.0,False,240.0
329,240.0,False,240.0
330,240.0,False,240.0
331,240.0,False,240.0
332,240.0,False,240.0
333,240.0,False,240.0
334,240.0,False,240.0
335,240.0,False,240.0
336,240.0,False,240.0
337,240.0,False,240.0
338,240.0,False,240.0
339,240.0,False,240.0
340,240.0,False,240.0
341,240.0,False,240.0
342,240.0,False,240.0
343,235.0,False,239.0
344,235.0,False,238.0
345,235.0,False,237.0
346,235.0,False,236.0
347,235.0,False,235.0
348,235.0,False,235.0
349,235.0,False,235.0
350,235.0,False,235.0
351,235.0,False,235.0
352,235.0,False,235.0
353,235.0,False,235.0
354,235.0,False,235.0
355,235.0,False,235.0
356,235.0,False,235.0
357,235.0,False,235.0
358,235.0,False,235.0
359,235.0,False,235.0
360,235.0,False,235.0
361,235.0,False,235.0
362,235.0,False,235.0
363,235.0,False,235.0
364,235.0,False,235.0
365,235.0,False,235.0
366,235.0,False,235.0
367,235.0,False,235.0
368,235.0,False,235.0
369,235.0,False,235.0
370,235.0,False,235.0
371,235.0,False,235.0
372,235.0,False,235.0
373,235.0,False,235.0
374,239.17,False,235.83399999999997
375,239.17,False,236.66799999999998
376,239.17,False,237.502
377,239.17,False,238.33599999999996
378,239.17,False,239.17
379,239.17,False,239.17
380,239.17,False,239.17
381,239.17,False,239.17
382,239.17,False,239.17
383,239.17,False,239.17
384,239.17,False,239.17
385,239.17,False,239.17
386,239.17,False,239.17
387,239.17,False,239.17
388,239.17,False,239.17
389,239.17,False,239.17
390,239.17,False,239.17
391,239.17,False,239.17
392,239.17,False,239.17
393,239.17,False,239.17
394,239.17,False,239.17
395,239.17,False,239.17
396,239.17,False,239.17
397,239.17,False,239.17
398,239.17,False,239.17
399,239.17,False,239.17
400,239.17,False,239.17
401,239.17,False,239.17
402,239.17,False,239.17
403,239.17,False,239.17
404,1140.0,False,419.33599999999996
405,1140.0,False,599.502
406,1140.0,False,779.6679999999999
407,1140.0,False,959.8340000000001
408,1140.0,False,1140.0
409,1140.0,False,1140.0
410,1140.0,False,1140.0
411,1140.0,False,1140.0
412,1140.0,False,1140.0
413,1140.0,False,1140.0
414,1140.0,False,1140.0
415,1140.0,False,1140.0
416,1140.0,False,1140.0
417,1140.0,False,1140.0
418,1140.0,False,1140.0
419,1140.0,False,1140.0
420,1140.0,False,1140.0
421,1140.0,False,1140.0
422,1140.0,False,1140.0
423,1140.0,False,1140.0
424,1140.0,False,1140.0
425,1140.0,False,1140.0
426,1140.0,False,1140.0
427,1140.0,False,1140.0
428,1140.0,False,1140.0
429,1140.0,False,1140.0
430,1140.0,False,1140.0
431,1140.0,False,1140.0
432,1140.0,False,1140.0
433,1140.0,False,1140.0
434,815.0,False,1075.0
435,815.0,False,1010.0
436,815.0,False,945.0
437,815.0,False,880.0
438,815.0,False,815.0
439,815.0,False,815.0
440,815.0,False,815.0
441,815.0,False,815.0
442,815.0,False,815.0
443,815.0,False,815.0
444,815.0,False,815.0
445,815.0,False,815.0
446,815.0,False,815.0
447,815.0,False,815.0
448,815.0,False,815.0
449,815.0,False,815.0
450,815.0,False,815.0
451,815.0,False,815.0
452,815.0,False,815.0
453,815.0,False,815.0
454,815.0,False,815.0
455,815.0,False,815.0
456,815.0,False,815.0
457,815.0,False,815.0
458,815.0,False,815.0
459,815.0,False,815.0
460,815.0,False,815.0
461,815.0,False,815.0
462,815.0,False,815.0
463,815.0,False,815.0
464,815.0,False,815.0
465,688.33,False,789.6659999999999
466,688.33,False,764.332
467,688.33,False,738.998
468,688.33,False,713.664
469,688.33,False,688.33
470,688.33,False,688.33
471,688.33,False,688.33
472,688.33,False,688.33
473,688.33,False,688.33
474,688.33,False,688.33
475,688.33,False,688.33
476,688.33,False,688.33
477,688.33,False,688.33
478,688.33,False,688.33
479,688.33,False,688.33
480,688.33,False,688.33
481,688.33,False,688.33
482,688.33,False,688.33
483,688.33,False,688.33
484,688.33,False,688.33
485,688.33,False,688.33
486,688.33,False,688.33
487,688.33,False,688.33
488,688.33,False,688.33
489,688.33,False,688.33
490,688.33,False,688.33
491,688.33,False,688.33
492,688.33,False,688.33
493,688.33,False,688.33
494,688.33,False,688.33
495,688.33,False,688.33
496,1935.0,False,937.664
497,1935.0,False,1186.998
498,1935.0,False,1436.3319999999999
499,1935.0,False,1685.666
500,1935.0,False,1935.0
501,1935.0,False,1935.0
